internal_entity_id,entity_type,provider_name,provider_entity_id,canonical_key,observed_name,mapping_status,mapping_confidence,model_eligible_identity
eb826a81-e994-5e8a-8db0-1a1da5db1cbb,team,football-data.co.uk-legacy,E0:Crystal Palace,E0:Crystal Palace,Crystal Palace,PROBABLE,0.65,False
08082420-685e-591e-b9bb-d2aaac211a68,team,football-data.co.uk-legacy,E0:Everton,E0:Everton,Everton,PROBABLE,0.65,False
2fcbbbf5-f586-5d00-93bc-3a6273fecfb7,team,football-data.co.uk-legacy,E0:Fulham,E0:Fulham,Fulham,PROBABLE,0.65,False
2856b9f2-1113-5b80-91ed-7c655f562f52,team,football-data.co.uk-legacy,E0:Huddersfield,E0:Huddersfield,Huddersfield,PROBABLE,0.65,False
0975ecd0-86fe-5152-bdcd-b73e1ba22757,team,football-data.co.uk-legacy,E0:Hull,E0:Hull,Hull,PROBABLE,0.65,False
4f2c9b6c-dd4b-5a71-a782-a135f68a1297,team,football-data.co.uk-legacy,E0:Ipswich,E0:Ipswich,Ipswich,PROBABLE,0.65,False
5e6df283-2536-5c1d-86ae-24a7208b9e07,team,football-data.co.uk-legacy,E0:Leeds,E0:Leeds,Leeds,PROBABLE,0.65,False
ccaef406-b6ed-569e-ab25-fe25afe3091c,team,football-data.co.uk-legacy,E0:Leicester,E0:Leicester,Leicester,PROBABLE,0.65,False
1c64ba4e-b56d-5c2a-ad98-cf9406d773f8,team,football-data.co.uk-legacy,E0:Liverpool,E0:Liverpool,Liverpool,PROBABLE,0.65,False
c0a5c440-7c77-5050-b88a-a062992bd3f7,team,football-data.co.uk-legacy,E0:Luton,E0:Luton,Luton,PROBABLE,0.65,False
2235c691-69de-5020-85f9-12a25c41f998,team,football-data.co.uk-legacy,E0:Man City,E0:Man City,Man City,PROBABLE,0.65,False
c2d7d9f4-0574-5180-bed7-a47b5633dd24,team,football-data.co.uk-legacy,E0:Man United,E0:Man United,Man United,PROBABLE,0.65,False
3f54f3dd-4ca8-55cd-ba9b-ac4cef922723,team,football-data.co.uk-legacy,E0:Middlesbrough,E0:Middlesbrough,Middlesbrough,PROBABLE,0.65,False
565986c8-e602-58fe-822e-abbc8c83d136,team,football-data.co.uk-legacy,E0:Newcastle,E0:Newcastle,Newcastle,PROBABLE,0.65,False
6f750137-fdc5-576a-9c9c-b76f13e84fe1,team,football-data.co.uk-legacy,E0:Norwich,E0:Norwich,Norwich,PROBABLE,0.65,False
b0867c8e-d178-5d09-a305-ba16c230a329,team,football-data.co.uk-legacy,E0:Nott'm Forest,E0:Nott'm Forest,Nott'm Forest,PROBABLE,0.65,False
261504e0-f575-5ba3-a0ac-c878e650374b,team,football-data.co.uk-legacy,E0:Sheffield United,E0:Sheffield United,Sheffield United,PROBABLE,0.65,False
e17fced2-125a-5980-9543-ab8059a6a010,team,football-data.co.uk-legacy,E0:Southampton,E0:Southampton,Southampton,PROBABLE,0.65,False
cffc56eb-1d34-5c8f-a9f3-625520a640b3,team,football-data.co.uk-legacy,E0:Stoke,E0:Stoke,Stoke,PROBABLE,0.65,False
fa4e4f63-34ad-57f4-b72d-06da54eb1c97,team,football-data.co.uk-legacy,E0:Sunderland,E0:Sunderland,Sunderland,PROBABLE,0.65,False
129f6b12-35dc-5daa-8daa-ec0a65540762,team,football-data.co.uk-legacy,E0:Swansea,E0:Swansea,Swansea,PROBABLE,0.65,False
fce8bad1-0db0-55ba-b144-739cc9d0d4f2,team,football-data.co.uk-legacy,E0:Tottenham,E0:Tottenham,Tottenham,PROBABLE,0.65,False
4aacb38e-239a-5c70-a496-be952b281600,team,football-data.co.uk-legacy,E0:Watford,E0:Watford,Watford,PROBABLE,0.65,False
cdbc3569-28e8-59c2-8517-ac0d354c479b,team,football-data.co.uk-legacy,E0:West Brom,E0:West Brom,West Brom,PROBABLE,0.65,False
51884cc7-c436-5f75-8b5d-888b922f359f,team,football-data.co.uk-legacy,E0:West Ham,E0:West Ham,West Ham,PROBABLE,0.65,False
2332150d-8637-590b-a5fe-f1ad9329b1e8,team,football-data.co.uk-legacy,E0:Wolves,E0:Wolves,Wolves,PROBABLE,0.65,False
04845849-ef21-569c-91be-6c05a45dd29f,team,football-data.co.uk-legacy,E1:Aston Villa,E1:Aston Villa,Aston Villa,PROBABLE,0.65,False
e38b9484-162b-521e-ba1c-c26f46968617,team,football-data.co.uk-legacy,E1:Barnsley,E1:Barnsley,Barnsley,PROBABLE,0.65,False
f81d9d45-93fe-5d76-b1d8-c4e500641fef,team,football-data.co.uk-legacy,E1:Birmingham,E1:Birmingham,Birmingham,PROBABLE,0.65,False
301cd089-f822-5671-b1b2-e92ec2677af2,team,football-data.co.uk-legacy,E1:Blackburn,E1:Blackburn,Blackburn,PROBABLE,0.65,False
0259bd1c-56a5-586c-bb14-f6215e61a7a8,team,football-data.co.uk-legacy,E1:Blackpool,E1:Blackpool,Blackpool,PROBABLE,0.65,False
1ee8e42a-3655-5a43-af7c-78d4b0f62749,team,football-data.co.uk-legacy,E1:Bolton,E1:Bolton,Bolton,PROBABLE,0.65,False
3bd7268f-e1f3-5840-a8db-2c6ca48d5598,team,football-data.co.uk-legacy,E1:Bournemouth,E1:Bournemouth,Bournemouth,PROBABLE,0.65,False
6b985787-6e9f-55be-acc3-8070877a0bbf,team,football-data.co.uk-legacy,E1:Brentford,E1:Brentford,Brentford,PROBABLE,0.65,False
0ceee8fb-94bb-5929-aa3a-f2729c0b6111,team,football-data.co.uk-legacy,E1:Brighton,E1:Brighton,Brighton,PROBABLE,0.65,False
b59396bb-db2b-5c5b-bf37-ed970b243515,team,football-data.co.uk-legacy,E1:Bristol City,E1:Bristol City,Bristol City,PROBABLE,0.65,False
629fc034-81e2-505d-8fb9-6d243ccbf874,team,football-data.co.uk-legacy,E1:Burnley,E1:Burnley,Burnley,PROBABLE,0.65,False
319be739-a863-5781-97c6-32db6525ca7c,team,football-data.co.uk-legacy,E1:Burton,E1:Burton,Burton,PROBABLE,0.65,False
7985c5ea-e9e4-5eca-9ad4-7bbd8ec46128,team,football-data.co.uk-legacy,E1:Cardiff,E1:Cardiff,Cardiff,PROBABLE,0.65,False
d7bd5957-6667-5fbb-abbc-3c64a02a93a2,team,football-data.co.uk-legacy,E1:Charlton,E1:Charlton,Charlton,PROBABLE,0.65,False
9a2ad616-fbf3-55f1-8d36-9e540603b762,team,football-data.co.uk-legacy,E1:Coventry,E1:Coventry,Coventry,PROBABLE,0.65,False
c190a574-531c-5111-ad90-2149205e089b,team,football-data.co.uk-legacy,E1:Derby,E1:Derby,Derby,PROBABLE,0.65,False
2d46a144-58b6-59a3-a72f-b3061c011040,team,football-data.co.uk-legacy,E1:Fulham,E1:Fulham,Fulham,PROBABLE,0.65,False
fba3da53-7e0b-5df9-96e8-b2dfa02024bd,team,football-data.co.uk-legacy,E1:Huddersfield,E1:Huddersfield,Huddersfield,PROBABLE,0.65,False
f0868256-397e-5350-9e75-cf4624f53ccc,team,football-data.co.uk-legacy,E1:Hull,E1:Hull,Hull,PROBABLE,0.65,False
9ac1dd9b-db7d-5921-8b6e-d9711c8ef29c,team,football-data.co.uk-legacy,E1:Ipswich,E1:Ipswich,Ipswich,PROBABLE,0.65,False
36828329-d809-502a-9151-dec94f02709c,team,football-data.co.uk-legacy,E1:Leeds,E1:Leeds,Leeds,PROBABLE,0.65,False
63f296c7-709f-57e1-8722-902770031df1,team,football-data.co.uk-legacy,E1:Leicester,E1:Leicester,Leicester,PROBABLE,0.65,False
93c88a75-f722-5d09-b570-67695eda62c5,team,football-data.co.uk-legacy,E1:Luton,E1:Luton,Luton,PROBABLE,0.65,False
bf67a78d-7c71-5b42-ab22-3a2125c68e29,team,football-data.co.uk-legacy,E1:Middlesbrough,E1:Middlesbrough,Middlesbrough,PROBABLE,0.65,False
564a3ef5-d6c4-58dc-8795-1c83c19cb642,team,football-data.co.uk-legacy,E1:Millwall,E1:Millwall,Millwall,PROBABLE,0.65,False
64cbe1a0-dd79-5152-8b50-dd684eecce1e,team,football-data.co.uk-legacy,E1:Milton Keynes Dons,E1:Milton Keynes Dons,Milton Keynes Dons,PROBABLE,0.65,False
f3f38dab-ffc2-5f7f-b716-d80da627ccfd,team,football-data.co.uk-legacy,E1:Newcastle,E1:Newcastle,Newcastle,PROBABLE,0.65,False
5f9e0d3d-9a91-59ae-b797-9ad25f4efd64,team,football-data.co.uk-legacy,E1:Norwich,E1:Norwich,Norwich,PROBABLE,0.65,False
fcc5cb3c-ae8f-50e3-a72b-94fec4c19511,team,football-data.co.uk-legacy,E1:Nott'm Forest,E1:Nott'm Forest,Nott'm Forest,PROBABLE,0.65,False
1e9cb6aa-9562-5e8b-984b-4414045d7f33,team,football-data.co.uk-legacy,E1:Oxford,E1:Oxford,Oxford,PROBABLE,0.65,False
e9702ae1-b189-55c2-88b1-8d4654fdf2f9,team,football-data.co.uk-legacy,E1:Peterboro,E1:Peterboro,Peterboro,PROBABLE,0.65,False
b5beac61-adf4-55dc-b610-4be4c8212c62,team,football-data.co.uk-legacy,E1:Plymouth,E1:Plymouth,Plymouth,PROBABLE,0.65,False
2485734c-2716-52ab-8b57-072fa130ddaa,team,football-data.co.uk-legacy,E1:Portsmouth,E1:Portsmouth,Portsmouth,PROBABLE,0.65,False
09feae93-d665-5464-a0f2-427255a6436e,team,football-data.co.uk-legacy,E1:Preston,E1:Preston,Preston,PROBABLE,0.65,False
73bbfd2c-05a4-5fc7-80c5-4e83add91545,team,football-data.co.uk-legacy,E1:QPR,E1:QPR,QPR,PROBABLE,0.65,False
68197b49-1ae2-592f-ae65-ab897f22a684,team,football-data.co.uk-legacy,E1:Reading,E1:Reading,Reading,PROBABLE,0.65,False
d0d994e3-65b4-5a5c-8b31-6df4b8572971,team,football-data.co.uk-legacy,E1:Rotherham,E1:Rotherham,Rotherham,PROBABLE,0.65,False
99a80f0d-e207-509b-80f8-baebad22f304,team,football-data.co.uk-legacy,E1:Sheffield United,E1:Sheffield United,Sheffield United,PROBABLE,0.65,False
d25f2020-acbb-5799-bbb3-599339c8a7f0,team,football-data.co.uk-legacy,E1:Sheffield Weds,E1:Sheffield Weds,Sheffield Weds,PROBABLE,0.65,False
21f15174-0b2a-5516-bcf4-ad9b1e1aee3d,team,football-data.co.uk-legacy,E1:Southampton,E1:Southampton,Southampton,PROBABLE,0.65,False
ea9317e0-b044-536b-8a0e-13494c0be95b,team,football-data.co.uk-legacy,E1:Stoke,E1:Stoke,Stoke,PROBABLE,0.65,False
