combo,profondeur,marche,n,obs,ref_aj,delta,delta_brut,z,p,blocs_coherents,blocs,fdr,stable,reportable
SERIE_VICTOIRES,1,TEAM_O15_SELF,4776,0.5175879396984925,0.5064385196809174,0.011149420017575129,0.13417130878202427,1.6550179361020252,0.09792085967934883,3,3,False,True,False
SERIE_VICTOIRES,1,CS_SELF,4776,0.34505862646566166,0.3447107665158861,0.0003478599497755419,0.07504510418468269,0.05222230160961463,0.9583515630621189,1,3,False,False,False
SERIE_VICTOIRES,1,MT1_SELF,4776,0.38756281407035176,0.38637748861677945,0.0011853254535723057,0.09640679464748547,0.17627876213010682,0.8600749461233368,2,3,False,True,False
SERIE_VICTOIRES,1,MT2_SELF,4776,0.4489112227805695,0.4344413445594065,0.014469878221163024,0.1228213236342729,2.1335859667830164,0.03287668772164043,3,3,False,True,False
SERIE_VICTOIRES,1,O05_MT1,4776,0.7238274706867671,0.7213189777490902,0.002508492937676965,0.020004564532445368,0.3896479681972406,0.6967968765992283,2,3,False,True,False
SERIE_VICTOIRES,1,O15_MT1,4776,0.3710217755443886,0.3661877102002175,0.004834065344171079,0.02850396899514629,0.7012451299124447,0.48315004999477207,3,3,False,True,False
SERIE_VICTOIRES,1,O35,4776,0.32935510887772196,0.3266793337865283,0.002675775091193655,0.033613501287313385,0.40220074866542793,0.6875362912943768,2,3,False,True,False
SERIE_VICTOIRES,1,U15,4776,0.21419597989949749,0.22064326007909865,-0.006447280179601167,-0.028720641919946804,-1.0881069774844307,0.27654788378911066,3,3,False,True,False
SERIE_VICTOIRES,1,O45_CARTONS,4776,0.37625628140703515,0.3580396720785648,0.018216609328470357,-0.007955057803450405,2.649355511400681,0.008064544814344377,3,3,False,True,False
SERIE_VICTOIRES,1,BTTS_Y,4776,0.5276381909547738,0.5205152110513805,0.007122979903393278,0.004422739900387773,0.9907299246775102,0.321817474832792,2,3,False,True,False
SERIE_V_LONGUE,1,TEAM_O15_SELF,1872,0.5881410256410257,0.5632478776293728,0.024893148011652877,0.20070595762138577,2.325839673211765,0.020027105299851744,3,3,False,True,False
SERIE_V_LONGUE,1,CS_SELF,1872,0.37072649572649574,0.37336041548212856,-0.0026339197556328187,0.10189990266942134,-0.24245523228746216,0.8084274415366313,2,3,False,True,False
SERIE_V_LONGUE,1,MT1_SELF,1872,0.4423076923076923,0.4296937163660076,0.012613975941684674,0.14902374491001563,1.1519138562274838,0.24935647375763903,3,3,False,True,False
SERIE_V_LONGUE,1,MT2_SELF,1872,0.5096153846153846,0.4834719943440053,0.026143390271379296,0.1807765884782681,2.3876513519883833,0.016956419202671213,3,3,False,True,False
SERIE_V_LONGUE,1,O05_MT1,1872,0.7510683760683761,0.7351168552793331,0.01595152078904294,0.04332597099662516,1.5761239413222414,0.11499724252434707,3,3,False,True,False
SERIE_V_LONGUE,1,O15_MT1,1872,0.4129273504273504,0.38359620613495593,0.029331144292394473,0.06543501329365681,2.6388487737749857,0.00831880806331231,3,3,False,True,False
SERIE_V_LONGUE,1,O35,1872,0.3701923076923077,0.3494341941407364,0.02075811355157131,0.0680178804202703,1.9207296376602077,0.0547658011299228,3,3,False,True,False
SERIE_V_LONGUE,1,U15,1872,0.18963675213675213,0.20372568414286543,-0.014088932006113303,-0.048326162879789275,-1.532927383608061,0.1252937479263576,2,3,False,True,False
SERIE_V_LONGUE,1,O45_CARTONS,1872,0.3685897435897436,0.34342775976079615,0.025161983828947465,-0.020751281278772238,2.315424245215206,0.020589725933611636,3,3,False,True,False
SERIE_V_LONGUE,1,BTTS_Y,1872,0.5357905982905983,0.5187112397617849,0.01707935852881337,0.011326751070601437,1.4875220401635798,0.13687698653236624,3,3,False,True,False
SERIE_SANS_V,1,TEAM_O15_SELF,12241,0.32399313781553796,0.32510062449411126,-0.0011074866785732995,-0.060848759996557256,-0.26898681358327986,0.7879398300631821,2,3,False,True,False
SERIE_SANS_V,1,CS_SELF,12241,0.23601012989134876,0.2382513003496374,-0.002241170458288644,-0.041336968366164156,-0.597942559533099,0.5498782607814459,2,3,False,True,False
SERIE_SANS_V,1,MT1_SELF,12241,0.2438526264194102,0.24680247230993027,-0.002949845890520081,-0.05012689594973729,-0.7733608555851769,0.4393088495387034,2,3,False,True,False
SERIE_SANS_V,1,MT2_SELF,12241,0.2772649293358386,0.27565526091739445,0.0016096684184441212,-0.05205468850521433,0.4092923980732022,0.6823250936262912,2,3,False,True,False
SERIE_SANS_V,1,O05_MT1,12241,0.692508781962258,0.6930668842345836,-0.0005581022723256668,-0.005823720309222291,-0.1345957174632671,0.8929315277655672,2,3,False,True,False
SERIE_SANS_V,1,O15_MT1,12241,0.3308553222775917,0.3292635924568855,0.0015917298207061559,-0.005453957324828007,0.37762017114395774,0.7057127779315766,2,3,False,True,False
SERIE_SANS_V,1,O35,12241,0.27579446123682705,0.27997958636262854,-0.004185125125801492,-0.01342327543298888,-1.0457817684037158,0.29566180047063284,2,3,False,True,False
SERIE_SANS_V,1,U15,12241,0.25855730740952537,0.25536427113294446,0.0031930362765809073,0.009770797810252224,0.816941757280839,0.4139617130529918,2,3,False,True,False
SERIE_SANS_V,1,O45_CARTONS,12241,0.3861612613348583,0.38241157398138,0.0037496873534783037,0.007157554592934434,0.858607075898752,0.39055733293499095,2,3,False,True,False
SERIE_SANS_V,1,BTTS_Y,12241,0.520382321705743,0.5195607605205004,0.0008215611852425697,-0.0006348505469963017,0.1825849742944296,0.8551236749246931,2,3,False,True,False
SERIE_NULS,1,TEAM_O15_SELF,1152,0.3550347222222222,0.35733928854208785,-0.002304566319865642,-0.02214781030299867,-0.16979252491285793,0.8651733058249391,2,3,False,True,False
SERIE_NULS,1,CS_SELF,1152,0.2595486111111111,0.2675984725087863,-0.008049861397675218,-0.017919342574001795,-0.6349407409503027,0.5254670644838666,3,3,False,True,False
SERIE_NULS,1,MT1_SELF,1152,0.2690972222222222,0.2749072951532765,-0.005810072931054289,-0.019175750765869637,-0.4543980660938844,0.6495423440463768,2,3,False,True,False
SERIE_NULS,1,MT2_SELF,1152,0.3177083333333333,0.3085552557975006,0.009153077535832721,-0.006454345454219246,0.6960658417604273,0.4863875970317437,2,3,False,True,False
SERIE_NULS,1,O05_MT1,1152,0.6918402777777778,0.6898253043017445,0.0020149734760332993,-0.0003980373328725806,0.1486603100825013,0.8818216811148685,2,3,False,True,False
SERIE_NULS,1,O15_MT1,1152,0.3289930555555556,0.3255657723776833,0.0034272831778722757,-0.0013621497176350417,0.25017992083806345,0.8024482124608587,1,3,False,False,False
SERIE_NULS,1,O35,1152,0.2647569444444444,0.2753118733182802,-0.0105549288738358,-0.017405439484919127,-0.8134018625064382,0.41598769183783624,2,3,False,True,False
SERIE_NULS,1,U15,1152,0.2569444444444444,0.25918027005276856,-0.002235825608324138,0.002939063169910827,-0.17463608377065826,0.8613655935072153,1,3,False,False,False
SERIE_NULS,1,O45_CARTONS,1152,0.3932291666666667,0.38521763884714083,0.008011527819525854,0.01358669877423685,0.5621995952672704,0.5739800371527088,2,3,False,True,False
SERIE_NULS,1,BTTS_Y,1152,0.5295138888888888,0.5162165026725575,0.013297386216331364,0.011095342293675148,0.9063238213695105,0.3647644805524901,3,3,False,True,False
CRISE_OFFENSIVE,1,TEAM_O15_SELF,4598,0.3033927794693345,0.31004834819660143,-0.006655568727266914,-0.07485472435533624,-0.998342399999904,0.31811335405648133,2,3,False,True,False
CRISE_OFFENSIVE,1,CS_SELF,4598,0.24380165289256198,0.23929060384984538,0.004511049042716597,-0.04187804560080813,0.7352242158670268,0.4622029533828278,3,3,False,True,False
CRISE_OFFENSIVE,1,MT1_SELF,4598,0.2357546759460635,0.2397505041992356,-0.003995828253172101,-0.057153105236820406,-0.6463637674448128,0.5180437995926246,3,3,False,True,False
CRISE_OFFENSIVE,1,MT2_SELF,4598,0.26424532405393647,0.26722052599276047,-0.0029752019388240014,-0.06449960298636698,-0.46649509351465807,0.6408611587784514,1,3,False,False,False
CRISE_OFFENSIVE,1,O05_MT1,4598,0.6876903001304915,0.6844723426796389,0.0032179574508526265,-0.003923891334010388,0.47163807038350436,0.6371851480324267,1,3,False,False,False
CRISE_OFFENSIVE,1,O15_MT1,4598,0.3253588516746411,0.3187019445650803,0.00665690710956085,-0.0028988838605567002,0.9749155880386264,0.3296021331776686,2,3,False,True,False
CRISE_OFFENSIVE,1,O35,4598,0.2581557198782079,0.2671104240349487,-0.008954704156740823,-0.019121931782357493,-1.3887459946445961,0.1649100025962098,2,3,False,True,False
CRISE_OFFENSIVE,1,U15,4598,0.2753371030882993,0.26605133186413576,0.00928577122416352,0.015431040908057803,1.4349151886132365,0.15131126698423358,2,3,False,True,False
CRISE_OFFENSIVE,1,O45_CARTONS,4598,0.38494997825141364,0.38624916189763325,-0.001299183646219615,0.00917313409849796,-0.18201653459691672,0.8555697499189272,1,3,False,False,False
CRISE_OFFENSIVE,1,BTTS_Y,4598,0.4963027403218791,0.5104202365126166,-0.014117496190737489,-0.014346728886435678,-1.9201581638875322,0.05483792426632306,3,3,False,True,False
ATTAQUE_PROLIFIQUE,1,TEAM_O15_SELF,11819,0.5141720957779846,0.499749797667621,0.014422298110363607,0.12011747907792258,3.3607020577059328,0.0007774464112111357,3,3,True,True,False
ATTAQUE_PROLIFIQUE,1,CS_SELF,11819,0.32278534562991795,0.329654980288662,-0.006869634658744073,0.05758361905312631,-1.643567456637048,0.10026558075204495,3,3,False,True,False
ATTAQUE_PROLIFIQUE,1,MT1_SELF,11819,0.38937304340468737,0.3775859625789771,0.011787080825710283,0.09402767094419406,2.769819705833538,0.005608732975420416,3,3,False,True,False
ATTAQUE_PROLIFIQUE,1,MT2_SELF,11819,0.43167780692105934,0.4233214573955449,0.00835634952551445,0.10129498441159868,1.9441123549970587,0.05188190369590995,3,3,False,True,False
ATTAQUE_PROLIFIQUE,1,O05_MT1,11819,0.737033589982232,0.7260122489451271,0.011021341037104948,0.0257828906195412,2.7064989929606105,0.006799678862259295,3,3,False,True,False
ATTAQUE_PROLIFIQUE,1,O15_MT1,11819,0.38471951941788646,0.3716246775505883,0.013094841867298146,0.03272776146920081,2.977118246234636,0.002909717624641761,2,3,True,True,False
ATTAQUE_PROLIFIQUE,1,O35,11819,0.3522294610373128,0.333791066468182,0.018438394569130767,0.04241933275329862,4.331919327290832,1.4781510564887412e-05,3,3,True,True,False
ATTAQUE_PROLIFIQUE,1,U15,11819,0.20153989339199593,0.21511684297992223,-0.013576949587926296,-0.030320418989573827,-3.6351975774121756,0.00027776767177267736,3,3,True,True,False
ATTAQUE_PROLIFIQUE,1,O45_CARTONS,11819,0.3683898807005669,0.3577517735776373,0.010638107122929563,-0.01107059339841665,2.432491314663886,0.014995351145401514,2,3,False,True,False
ATTAQUE_PROLIFIQUE,1,BTTS_Y,11819,0.5459852779422963,0.5298145491233286,0.01617072881896775,0.013295770266553597,3.5430554772138443,0.0003955194885565394,3,3,True,True,False
DEFENSE_PASSOIRE,1,TEAM_O15_SELF,10094,0.335446800079255,0.33703901635966343,-0.0015922162804084539,-0.06395433195109645,-0.3501739906460576,0.7262081250044103,2,3,False,True,False
DEFENSE_PASSOIRE,1,CS_SELF,10094,0.23132553992470775,0.22975004967719737,0.001575490247510386,-0.03673938452708955,0.3873580130053035,0.698491182951744,1,3,False,False,False
DEFENSE_PASSOIRE,1,MT1_SELF,10094,0.25361600951060037,0.24988090771968263,0.0037351017909177386,-0.04573403630503603,0.8895607190089493,0.3737018062197053,3,3,False,True,False
DEFENSE_PASSOIRE,1,MT2_SELF,10094,0.2738260352684763,0.27868462992013987,-0.00485859465166355,-0.06069457796616112,-1.1234566922694689,0.26124358380154167,3,3,False,True,False
DEFENSE_PASSOIRE,1,O05_MT1,10094,0.7006142262730335,0.7052052827687829,-0.004591056495749424,-0.01136960023568745,-1.0177291952595238,0.30880666874277085,2,3,False,True,False
DEFENSE_PASSOIRE,1,O15_MT1,10094,0.3422825440855954,0.3445648282360287,-0.0022822841504333002,-0.01041011064404046,-0.4866768497213144,0.6264873534565392,2,3,False,True,False
DEFENSE_PASSOIRE,1,O35,10094,0.299980186249257,0.29930246175216024,0.0006777244970967433,-0.011021833708373008,0.1510100699851338,0.8799677722977652,2,3,False,True,False
DEFENSE_PASSOIRE,1,U15,10094,0.2420249653259362,0.24030630925780552,0.0017186560681306806,0.011210417293656239,0.40795874052447245,0.6833039663631626,2,3,False,True,False
DEFENSE_PASSOIRE,1,O45_CARTONS,10094,0.38725975827224096,0.37472511896013144,0.012534639312109519,0.010681987269836046,2.6163034444728823,0.008888752442933967,2,3,False,True,False
DEFENSE_PASSOIRE,1,BTTS_Y,10094,0.5273429760253616,0.5300122626849724,-0.002669286659610748,-0.006306063767766434,-0.5396031220376587,0.5894707630869118,1,3,False,False,False
REPRISE_FORME,1,TEAM_O15_SELF,2643,0.3454407869844873,0.35305971812494463,-0.007618931140457308,-0.03290250567670211,-0.8492787246108767,0.39572621647515316,2,3,False,True,False
REPRISE_FORME,1,CS_SELF,2643,0.25728339008702233,0.2602418681600499,-0.0029584780730275706,-0.01592459809569241,-0.3562476847548333,0.721655084016489,2,3,False,True,False
REPRISE_FORME,1,MT1_SELF,2643,0.2565266742338252,0.26952602410903087,-0.012999349875205679,-0.031463732237776376,-1.5456920701346297,0.12217895329796091,2,3,False,True,False
REPRISE_FORME,1,MT2_SELF,2643,0.29474082482027997,0.3024888604374357,-0.007748035617155757,-0.029543003985298244,-0.8950753732868992,0.37074679749149597,2,3,False,True,False
REPRISE_FORME,1,O05_MT1,2643,0.6867196367763905,0.6926552781238271,-0.0059356413474366265,-0.010890596474772973,-0.6647720974853081,0.5061962717997497,3,3,False,True,False
REPRISE_FORME,1,O15_MT1,2643,0.318955732122588,0.32811515329090957,-0.00915942116832158,-0.01658634010158344,-1.0103069943549055,0.312348231175422,2,3,False,True,False
REPRISE_FORME,1,O35,2643,0.2762012864169504,0.2783853595963162,-0.0021840731793658086,-0.011469608411490528,-0.25390072892792165,0.7995722516381616,2,3,False,True,False
REPRISE_FORME,1,U15,2643,0.2546348846008324,0.2560427893754249,-0.0014079047745925166,0.00547968116423897,-0.1671951098341201,0.8672165320489325,2,3,False,True,False
REPRISE_FORME,1,O45_CARTONS,2643,0.35565645100264853,0.3818619138203747,-0.026205462817726177,-0.019785129827735226,-2.7885545167095316,0.0052943835788668014,3,3,False,True,False
REPRISE_FORME,1,BTTS_Y,2643,0.5183503594400303,0.5200463925528641,-0.001696033112833839,-0.0012540390243386268,-0.1751461493469789,0.8609647967399654,2,3,False,True,False
POST_DEFAITE_LOURDE,1,TEAM_O15_SELF,5161,0.347800813795776,0.3514419595055591,-0.0036411457097831335,-0.05373999661151724,-0.5679052927722286,0.5700992778555585,2,3,False,True,False
POST_DEFAITE_LOURDE,1,CS_SELF,5161,0.24878899438093394,0.2515405809256613,-0.002751586544727347,-0.030996768144830156,-0.4686765889741989,0.6393008232738566,2,3,False,True,False
POST_DEFAITE_LOURDE,1,MT1_SELF,5161,0.27010269327649683,0.2661140626438756,0.003988630632621226,-0.034195543496833014,0.6658433038939676,0.5055112626267184,2,3,False,True,False
POST_DEFAITE_LOURDE,1,MT2_SELF,5161,0.28947878318155396,0.2970501439476879,-0.007571360766133961,-0.051340873026738454,-1.2293013990917703,0.21895882292480784,3,3,False,True,False
POST_DEFAITE_LOURDE,1,O05_MT1,5161,0.6944390621972486,0.696975108894554,-0.0025360466973054496,-0.011404269098671871,-0.3985702134936851,0.690209912972684,2,3,False,True,False
POST_DEFAITE_LOURDE,1,O15_MT1,5161,0.32454950590970744,0.33408115674891753,-0.009531650839210093,-0.021556662373449054,-1.4630855025133775,0.14344398429851513,2,3,False,True,False
POST_DEFAITE_LOURDE,1,O35,5161,0.2782406510366208,0.2859417364868196,-0.0077010854501987636,-0.0236470556630749,-1.2413663352925512,0.2144704495120422,2,3,False,True,False
POST_DEFAITE_LOURDE,1,U15,5161,0.24665762449137765,0.2501905109255729,-0.0035328864341952204,0.00804390352380785,-0.5909733421069723,0.5545382827020777,2,3,False,True,False
POST_DEFAITE_LOURDE,1,O45_CARTONS,5161,0.3972098430536718,0.3798400748586335,0.01736976819503827,0.023100010757352796,2.5853459588124705,0.009728133137391293,3,3,False,True,False
POST_DEFAITE_LOURDE,1,BTTS_Y,5161,0.5322611896919202,0.5246635774095578,0.0075976122823623315,0.005895096853328563,1.0973329286536657,0.2724958813838527,2,3,False,True,False
POST_VICTOIRE_LARGE,1,TEAM_O15_SELF,5169,0.4743664151673438,0.46303856601088095,0.011327849156462844,0.09477681627730411,1.7551360680945725,0.07923603619374164,3,3,False,True,False
POST_VICTOIRE_LARGE,1,CS_SELF,5169,0.3087637840975044,0.3146250155786368,-0.005861231481132434,0.04614872710725482,-0.9393784252626141,0.34753648597347864,2,3,False,True,False
POST_VICTOIRE_LARGE,1,MT1_SELF,5169,0.3567421164635326,0.35122113382117137,0.005520982642361227,0.07079120531207406,0.8726179074738564,0.38287137654487147,3,3,False,True,False
POST_VICTOIRE_LARGE,1,MT2_SELF,5169,0.4025923776359064,0.39437657628458495,0.008215801351321439,0.08160953255956788,1.2803153320048213,0.20043425764336842,2,3,False,True,False
POST_VICTOIRE_LARGE,1,O05_MT1,5169,0.7231572838073128,0.7163940655761175,0.0067632182311953,0.017112970866195898,1.0867526289018064,0.277146148155039,3,3,False,True,False
POST_VICTOIRE_LARGE,1,O15_MT1,5169,0.3660282453085703,0.35936957681254605,0.006658668496024256,0.01964999608449336,1.0082391002200508,0.313339691221751,2,3,False,True,False
POST_VICTOIRE_LARGE,1,O35,5169,0.3331398723157284,0.3188484316099301,0.014291440705798297,0.03088416678839717,2.247286355411826,0.024621732323294676,3,3,False,True,False
POST_VICTOIRE_LARGE,1,U15,5169,0.2240278583865351,0.22683618241361517,-0.0028083240270800613,-0.014309814623821943,-0.4878411337166147,0.6256623731439452,2,3,False,True,False
POST_VICTOIRE_LARGE,1,O45_CARTONS,5169,0.3726059199071387,0.3625894967240833,0.0100164231830554,-0.001625169581770003,1.5097321264519947,0.13111179019800634,3,3,False,True,False
POST_VICTOIRE_LARGE,1,BTTS_Y,5169,0.5372412458889534,0.5244913883462488,0.012749857542704635,0.010676388331216535,1.844799755686097,0.06506667299612978,3,3,False,True,False
POST_VICTOIRE_SURPRISE,1,TEAM_O15_SELF,5974,0.3404753933712755,0.3538863777495637,-0.013410984378288193,-0.052755632562035304,-2.2391553192010805,0.02514581190258358,3,3,False,True,False
POST_VICTOIRE_SURPRISE,1,CS_SELF,5974,0.26113157013726146,0.2640369591348022,-0.0029053889975407254,-0.027017116754168125,-0.5234334970220699,0.6006726188481184,2,3,False,True,False
POST_VICTOIRE_SURPRISE,1,MT1_SELF,5974,0.25862068965517243,0.27160306204922746,-0.01298237239405503,-0.043842368536671394,-2.3109786944265838,0.020834031744133563,3,3,False,True,False
POST_VICTOIRE_SURPRISE,1,MT2_SELF,5974,0.2934382323401406,0.30375493383897556,-0.010316701498834957,-0.04445116531229032,-1.7855973419045246,0.07416447760475653,3,3,False,True,False
POST_VICTOIRE_SURPRISE,1,O05_MT1,5974,0.6814529628389688,0.6898128976721472,-0.008359934833178317,-0.014961037191972726,-1.4035854012433728,0.1604423448398944,2,3,False,True,False
POST_VICTOIRE_SURPRISE,1,O15_MT1,5974,0.3225644459323736,0.32537776085321585,-0.002813314920842247,-0.010972071724056898,-0.46737634726363636,0.640230642012328,2,3,False,True,False
POST_VICTOIRE_SURPRISE,1,O35,5974,0.27569467693337796,0.274561647180665,0.0011330297527129551,-0.009167168777761359,0.19866953435775822,0.8425212570049692,1,3,False,False,False
POST_VICTOIRE_SURPRISE,1,U15,5974,0.269501171744225,0.2590462186083783,0.010454953135846712,0.017138848388129402,1.8584640506132548,0.063103143908529,3,3,False,True,False
POST_VICTOIRE_SURPRISE,1,O45_CARTONS,5974,0.36792768664211584,0.38473480801163534,-0.016807121369519507,-0.003382935194801262,-2.6844396930389633,0.007265148907881436,3,3,False,True,False
POST_VICTOIRE_SURPRISE,1,BTTS_Y,5974,0.5154000669568128,0.5192649664254244,-0.003864899468611571,-0.0025063817590013082,-0.6000773650331774,0.5484546768319427,2,3,False,True,False
FORT_MT1,1,TEAM_O15_SELF,11219,0.4753543096532668,0.4592981180462296,0.016056191607037196,0.08508070661982087,3.6531689818187667,0.0002590236448858363,3,3,True,True,False
FORT_MT1,1,CS_SELF,11219,0.31589268205722437,0.3112780233461709,0.004614658711053488,0.047378966587189875,1.092876377183547,0.27444808143077326,2,3,False,True,False
FORT_MT1,1,MT1_SELF,11219,0.36179695159996433,0.3480257829054714,0.013771168694492908,0.06723983508349568,3.2078121643232054,0.0013374882165941848,3,3,True,True,False
FORT_MT1,1,MT2_SELF,11219,0.4059185310633746,0.3899922789245871,0.01592625213878751,0.07663703931434368,3.6541141746588566,0.00025807141644484943,3,3,True,True,False
FORT_MT1,1,O05_MT1,11219,0.7263570728228897,0.7164418273293836,0.009915245493506197,0.018250073997772787,2.3471685502861654,0.018916695292949592,3,3,False,True,False
FORT_MT1,1,O15_MT1,11219,0.3658971387824227,0.3590144588385671,0.0068826799438556074,0.017857564455663777,1.5356517631528521,0.12462381150807111,2,3,False,True,False
FORT_MT1,1,O35,11219,0.32578661199750425,0.3177474606196248,0.008039151377879472,0.023142063851604056,1.863813885024665,0.062347845174609784,2,3,False,True,False
FORT_MT1,1,U15,11219,0.22051876281308494,0.2269137120425467,-0.006394949229461766,-0.016397026655708496,-1.6362088967741564,0.10179587507569332,3,3,False,True,False
FORT_MT1,1,O45_CARTONS,11219,0.37267136108387555,0.3652477016566293,0.007423659427246265,-0.004895361935115139,1.645626607970533,0.09984065754977367,2,3,False,True,False
FORT_MT1,1,BTTS_Y,11219,0.5342722167751136,0.5269356024589,0.007336614316213574,0.005326708955390225,1.5647088893618044,0.11765118319479972,3,3,False,True,False
ENCAISSE_MT1,1,TEAM_O15_SELF,10898,0.3534593503395118,0.3522104201620872,0.001248930177424612,-0.03902449388027435,0.2837732259966963,0.7765841739635584,2,3,False,True,False
ENCAISSE_MT1,1,CS_SELF,10898,0.24334740319324646,0.24571758402566077,-0.0023701808324143037,-0.028056328060782426,-0.5919559475309851,0.5538800878284906,1,3,False,False,False
ENCAISSE_MT1,1,MT1_SELF,10898,0.27096714993576804,0.2640991999718557,0.006867949963912323,-0.025995107919227378,1.6736337292955872,0.09420260538493208,3,3,False,True,False
ENCAISSE_MT1,1,MT2_SELF,10898,0.2856487428886034,0.29506373613141396,-0.009414993242810532,-0.04591378285767028,-2.230602370183988,0.025707479670467714,3,3,False,True,False
ENCAISSE_MT1,1,O05_MT1,10898,0.7037988621765462,0.7018800921784685,0.0019187699980777184,-0.003736915412475672,0.4404993028480261,0.6595755171008157,2,3,False,True,False
ENCAISSE_MT1,1,O15_MT1,10898,0.34180583593319874,0.34033825520942107,0.0014675807237776728,-0.005415597651601989,0.3261189928653922,0.7443343276642103,2,3,False,True,False
ENCAISSE_MT1,1,O35,10898,0.29500825839603595,0.2937232581807349,0.0012850002153010354,-0.006421774865704166,0.29912997570678307,0.7648408754816347,1,3,False,False,False
ENCAISSE_MT1,1,U15,10898,0.24545788218021655,0.2445055023949027,0.0009523797853138449,0.007294597987874796,0.2334956864771776,0.8153765186916024,3,3,False,True,False
ENCAISSE_MT1,1,O45_CARTONS,10898,0.38429069554046613,0.37752635563529274,0.006764339905173389,0.00827423938109384,1.4650000646015016,0.14292090012915049,2,3,False,True,False
ENCAISSE_MT1,1,BTTS_Y,10898,0.5279867865663425,0.527753143985361,0.0002336425809814635,-0.00016720198729203162,0.04906753173884368,0.9608654781456163,1,3,False,False,False
SOLIDE_MT1,1,TEAM_O15_SELF,14268,0.4131623212783852,0.41306515071041167,9.717056797353685e-05,0.03764122711640894,0.025016027306809074,0.9800421796670384,1,3,False,False,False
SOLIDE_MT1,1,CS_SELF,14268,0.309573871600785,0.3030227213645382,0.0065511502362468055,0.030494803378410706,1.7568131010321626,0.07894967127902541,3,3,False,True,False
SOLIDE_MT1,1,MT1_SELF,14268,0.31805438744042613,0.318572248137504,-0.0005178606970778765,0.029375636712558162,-0.1382266300077973,0.8900613094056709,2,3,False,True,False
SOLIDE_MT1,1,MT2_SELF,14268,0.3669049621530698,0.35818285635517216,0.008722105797897617,0.042558373760744006,2.2806131526827382,0.022571348310353345,3,3,False,True,False
