provider,competition,season,column,rows,zeros,missing,non_zero,zero_rate,min_value,median_value,max_value,artificial_probability,quality_status,impact
football-data.co.uk,I1,2017-18,ar,380,330,0,50,0.868421052631579,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2017-18,hc,380,5,0,375,0.013157894736842105,0.0,5.0,18.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2017-18,ac,380,7,0,373,0.018421052631578946,0.0,4.0,16.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2018-19,hthg,380,201,0,179,0.5289473684210526,0.0,0.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2018-19,htag,380,234,0,146,0.6157894736842106,0.0,0.0,3.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2018-19,hy,380,34,0,346,0.08947368421052632,0.0,2.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2018-19,ay,380,22,0,358,0.05789473684210526,0.0,2.0,8.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2018-19,hr,380,343,0,37,0.9026315789473685,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2018-19,ar,380,334,0,46,0.8789473684210526,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2018-19,hc,380,5,0,375,0.013157894736842105,0.0,5.0,20.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2018-19,ac,380,8,0,372,0.021052631578947368,0.0,5.0,13.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2019-20,hthg,380,186,0,194,0.48947368421052634,0.0,1.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2019-20,htag,380,202,0,178,0.531578947368421,0.0,0.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2019-20,hy,380,19,0,361,0.05,0.0,2.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2019-20,ay,380,16,0,364,0.042105263157894736,0.0,3.0,7.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2019-20,hr,380,341,0,39,0.8973684210526316,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2019-20,ar,380,330,0,50,0.868421052631579,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2019-20,hc,380,6,0,374,0.015789473684210527,0.0,5.0,17.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2019-20,ac,380,9,0,371,0.02368421052631579,0.0,4.0,17.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2020-21,hthg,380,196,0,184,0.5157894736842106,0.0,0.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2020-21,htag,380,201,0,179,0.5289473684210526,0.0,0.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2020-21,hy,380,40,0,340,0.10526315789473684,0.0,2.0,7.0,0.05,OBSERVED,aucun verrou automatique
